problem,uuid,problem_type,question_type,source,answer
"Given the definition $min\{a, b\} = \begin{cases} a, & \text{if } a \leq b \\ b, & \text{if } a > b \end{cases}$ and the function $f(x) = x^2 + px + q$ with two roots $\alpha$ and $\beta$, if there exists an integer $n$ such that $n < \alpha < \beta < n + 1$, find the value of $min\{f(n), f(n + 1)\}$.

A) Definitely greater than $\frac{1}{2}$
B) Definitely less than $\frac{1}{4}$
C) Definitely equal to $\frac{1}{4}$
D) Definitely less than $\frac{1}{4}$",3b2d1621-1288-5af5-8ebf-b9e6ace3773b,Algebra,MCQ,cn_k12,B
"Given vectors $\overrightarrow{a}=(-1, 1)$, $\overrightarrow{b}=(1, 0)$, if $(\overrightarrow{a} - \overrightarrow{b}) \perp (2\overrightarrow{a} + \lambda\overrightarrow{b})$, then $\lambda$ equals to (　　)

A: 2  
B: -2  
C: -3  
D: 3",093e401f-690d-5771-be72-8fd39d72131e,Algebra,MCQ,cn_k12,D
"Based on the information in the table, which of the following statements is correct?

| $n$     | $256$ | $259.21$ | $262.44$ | $265.69$ | $268.96$ | $272.25$ | $275.56$ |
|---------|-------|----------|----------|----------|----------|----------|----------|
| $\sqrt{n}$ | $16$  | $16.1$   | $16.2$   | $16.3$   | $16.4$   | $16.5$   | $16.6$   |

A: $\sqrt{25.921}=1.61$

B: $\sqrt{263} \lt 16.2$

C: Only $3$ positive integers $n$ satisfy $16.2 \lt \sqrt{n} \lt 16.3$

D: $\sqrt{2755.6}=166$",6a39efde-bd3a-5729-82a3-c44838c8f8dd,Algebra,MCQ,cn_k12,C
"Given a regression equation $y = 3 - 5x$, when the variable $x$ increases by one unit,

A. $y$ decreases by an average of 5 units.  
B. $y$ increases by an average of 3 units.  
C. $y$ decreases by an average of 3 units.  
D. $y$ increases by an average of 5 units.",a0d08422-fb1c-580d-8aa4-25ba98932b17,Algebra,MCQ,cn_k12,A
"Given that \\(i\\) is the imaginary unit, then \\( \dfrac {(2+i)(3-4i)}{2-i} = ( \quad )\\)
A: \\(5\\)
B: \\(5i\\)
C: \\(- \dfrac {7}{5}- \dfrac {12}{5}i\\)
D: \\(- \dfrac {7}{5}+ \dfrac {12}{5}i\\)",3f487a45-ca8a-50e9-909e-b26a55e78b98,Algebra,MCQ,cn_k12,A
"Given that the terminal side of angle $\theta$ passes through point P(4, -3), then $2\cos\theta-\sin\theta=$ （　　）
A: 1
B:  $\frac {11}{5}$
C: $- \frac {11}{5}$
D: -1",78d577b6-b5e6-5204-8320-102b4e4d41ea,Algebra,MCQ,cn_k12,B
"Given \(a > 0\), what is the relation of this condition to \(|a| > 0\)?
A: Sufficient but not necessary condition
B: Necessary but not sufficient condition
C: Necessary and sufficient condition
D: Neither sufficient nor necessary condition",add84e69-80eb-55cb-953d-e4599a977ae4,Algebra,MCQ,cn_k12,A
"Given the function $f(x)=\sin (\omega x+\varphi)$ $(\omega > 0,|\varphi| < \frac {\pi}{2})$, the distance between two adjacent axes of symmetry of its graph is $\frac {\pi}{2}$, and the function $f(x+ \frac {\pi}{12})$ is an even function. Among the following judgments, the correct one is $(\quad)$
A: The smallest positive period of the function $f(x)$ is $2\pi$  
B: The graph of the function $f(x)$ is symmetric about the point $(\frac {7\pi}{12},0)$  
C: The graph of the function $f(x)$ is symmetric about the line $x=- \frac {7\pi}{12}$  
D: The function $f(x)$ is monotonically increasing on the interval $[\frac {3\pi}{4},\pi]$",2d182746-e087-5734-bd45-1a222fb1d102,Algebra,MCQ,cn_k12,D
"Translate the graph of the function $f(x)= \sqrt {3}\sin x-\cos x$ to the right by $m$ units $(m > 0)$. If the resulting graph corresponds to an even function, then the minimum value of $m$ is $(\quad)$.

A: $ \dfrac {\pi}{3}$

B: $ \dfrac {2\pi}{3}$

C: $ \dfrac {\pi}{8}$

D: $ \dfrac {5\pi}{6}$",9fab67d8-44de-5dd9-a839-33e351ca2c96,Algebra,MCQ,cn_k12,A
"Given an arithmetic sequence $\{a_{n}\}$ with the sum of the first $n$ terms as $S_{n}$, $a_{6} \lt 0$, and $a_{4}+a_{9} \gt 0$, the largest value of $n$ that satisfies the inequality $S_{n} \lt 0$ is ( ).

A: $9$

B: $10$

C: $11$

D: $12$",3ae4153d-b8b8-59e4-9439-14882b477186,Algebra,MCQ,cn_k12,C
"The parity of the function $$f(x)= \frac { \sqrt {1-x^{2}}}{|x+3|-3}$$ is (　　)  
A: Odd function  
B: Even function  
C: Neither odd nor even function  
D: Both odd and even function",309801b6-25bd-54c0-9ddb-273b33090a15,Algebra,MCQ,cn_k12,A
"Given the function $f(x) = \cos x - |\sin x|$, which of the following statements is false?

A: $f(x)$ is an even function

B: $f(x)$ has exactly one zero in the interval $\left[-\pi, 0\right]$

C: $f(x)$ is a periodic function

D: $f(x)$ is increasing in the interval $\left[-\pi, 0\right]$",bf26ccf4-3303-544a-9e18-f552272b5b4a,Algebra,MCQ,cn_k12,D
"Given the sequence $\{a_n\}$ with the general term formula $a_n = 2n - 49$ ($n \in \mathbb{N}$), the value of $n$ when the sum of the first $n$ terms $S_n$ reaches its minimum is ( )
A: 23
B: 24
C: 25
D: 26",b73ce89d-231a-5b14-8092-b5c8777a7254,Algebra,MCQ,cn_k12,B
"Given vectors $a=(1,0)$, $b=(\cos \theta,\sin \theta)$, where $\theta\in\left[- \frac{\pi}{2}, \frac{\pi}{2}\right]$, then the range of values for $|a+b|$ is $\left(\right.$　　$\left.\right)$

A: $\left[0, \sqrt{2}\right]$

B: $\left[0, \sqrt{2}\right)$

C: $\left[1,2\right]$

D: $\left[\sqrt{2},2\right]$",3b6854fa-852d-5ab7-ac40-a48dfc436eec,Algebra,MCQ,cn_k12,D
"Given vectors $\overrightarrow{a}$, $\overrightarrow{b}$ satisfy $|\overrightarrow{a}|=2\sqrt{2}|\overrightarrow{b}|\neq 0$, and the function of $x$, $f(x)=2x^{3}+3|\overrightarrow{a}|x^{2}+6\overrightarrow{a}\cdot\overrightarrow{b}x+7$ is monotonically increasing on the set of real numbers $R$, then the range of the angle between vectors $\overrightarrow{a}$, $\overrightarrow{b}$ is $(\quad)$

A: $\left[0, \frac{\pi}{6}\right]$

B: $\left[0, \frac{\pi}{3}\right]$

C: $\left[0, \frac{\pi}{4}\right]$

D: $\left[\frac{\pi}{6}, \frac{\pi}{4}\right]$",2ef06f23-f80d-59b0-bf1e-0b7c7541cb6b,Algebra,MCQ,cn_k12,C
"Calculate the result of $(-2)^{2009} + (-2)^{2010}$.

A: 2  
B: -2  
C: 1  
D: $2^{2009}$",7561c255-8a89-5f84-83b0-e8a23a2cf530,Algebra,MCQ,cn_k12,D
"There are 2009 numbers arranged in a row, among which any three adjacent numbers have the property that the middle number is always equal to the sum of the two numbers before and after it. If the first number is 1 and the second number is -1, then the sum of these 2009 numbers is (　　)
A: -2
B: -1
C: 0
D: 2",94919a31-3a12-5e62-9b41-e789f7b75c49,Algebra,MCQ,cn_k12,A
"Given propositions: p: ""For all $x \in [1, 2]$, $x^2 - a \geq 0$"", and proposition q: ""There exists $x \in \mathbb{R}$, such that $x^2 + 2ax + 2 - a = 0$"", if ""p and q"" is a true statement, then the range of real number $a$ is (   )
A: $\{a|a \leq -2 \text{ or } a = 1\}$
B: $\{a|a \geq 1\}$
C: $\{a|a \leq -2 \text{ or } 1 \leq a \leq 2\}$
D: $\{a|-2 \leq a \leq 1\}$",3d6eec53-fc58-5954-83dc-7b038cce5e9f,Algebra,MCQ,cn_k12,A
"Given that the odd function $f(x)$ defined on $\mathbb{R}$ satisfies $f(x+1)=f(1-x)$, and when $x \in [0,1]$, $f(x) = \log_{2}(x+1)$, determine the value of $f(31)=($ 　　$)$.

A: $0$
B: $1$
C: $-1$
D: $2$",85543023-2305-50ca-8eed-64131bf4c708,Algebra,MCQ,cn_k12,C
"Given the real numbers $a$, $b$, and $c$ that satisfy the following equations: $$a=5^{- \frac {1}{2}}$$, $$\ln b = 1$$, and $$3c^3+c=1$$, determine the relationship among $a$, $b$, and $c$ ( ).
A: $c > b > a$
B: $b > c > a$
C: $b > a > c$
D: $a > b > c$",10dbbb45-6f61-526e-85df-df6ba6d93d59,Algebra,MCQ,cn_k12,B
"Given $U$ is the universal set, and $A$, $B$, $C$ are non-empty subsets of $U$. If $A \cap B = A \cap C$, then the following equation must hold:

A: $B=C$

B: $A \cup B = A \cup C$

C: $(C_U A) \cap B = (C_U A) \cap C$

D: $(C_U A) \cup B = (C_U A) \cup C$",ede8d979-c3e4-52a2-84bf-24dd1d4e2e9f,Algebra,MCQ,cn_k12,D
"Given that $i$ is the imaginary unit, and the complex number $z$ satisfies $iz=3+4i$, then $|z|=$　　.
A: $25$
B: $7$
C: $5$
D: $1$",b4fd9ed7-d574-5b6f-b460-85e4ca86a013,Algebra,MCQ,cn_k12,C
"The value of $\cos 70^{\circ}\sin 50^{\circ}-\cos 200^{\circ}\sin 40^{\circ}$ is (　　)
A: $- \dfrac { \sqrt {3}}{2}$
B: $- \dfrac {1}{2}$
C: $\dfrac {1}{2}$
D: $\dfrac { \sqrt {3}}{2}$",e2ff7bc3-1b5a-5b67-9878-044fd7e3a9ab,Algebra,MCQ,cn_k12,D
"Given that the function $f(x)$ satisfies $f(x)=f(π-x)$, and when $x∈(- \frac{n}{2}, \frac{n}{2} )$, $f(x)=e^{x}+\sin x$, then ( )

A: $f( \frac{π}{3}) < f( \frac{π}{4}) < f( \frac{5π}{6})$

B: $f( \frac{π}{4}) < f( \frac{π}{3}) < f( \frac{5π}{6})$

C: $f( \frac{π}{4}) < f( \frac{5π}{6}) < f( \frac{π}{3})$

D: $f( \frac{5π}{6}) < f( \frac{π}{4}) < f( \frac{π}{3})$",8c25fc43-add8-5fce-a77f-7c39123ff8ef,Algebra,MCQ,cn_k12,D
"Given that $\alpha$ and $\beta$ are acute angles, and $\cos(\alpha+\beta)=\frac{\sin\alpha}{\sin\beta}$, then the maximum value of $\tan \alpha$ is ( ).

A: $4$

B: $2$

C: $\frac{\sqrt{2}}{4}$

D: $\frac{\sqrt{2}}{5}$",8a9a71f9-749f-5698-8488-8314c2f1b3fa,Algebra,MCQ,cn_k12,C
"Given that a hyperbola passes through the point $P(2, \sqrt {2})$, and one of its asymptotes is defined by the equation $y=x$, determine the equation of the hyperbola $(\ \ \ \ )$
A: $x^{2}- \dfrac {3y^{2}}{2}=1$
B: $ \dfrac {x^{2}}{2}- \dfrac {y^{2}}{2}=1$
C: $ \dfrac {x^{2}}{3}- \dfrac {y^{2}}{6}=1$
D: $ \dfrac {y^{2}}{2}- \dfrac {x^{2}}{2}=1$",726bb259-9c9d-53a9-bdbd-b90864ad3221,Algebra,MCQ,cn_k12,B
"Given that $$\frac {1+ai}{1-i}$$=-2-i (where i is the imaginary unit), find the real number a=($\quad$)
A: -3
B: -1
C: 1
D: 3",dcb4c2f2-5541-571d-9914-2349a4ca284c,Algebra,MCQ,cn_k12,A
"Given the function $y=\log_{2}(x^{2}-2kx+k)$ has the range $\mathbb{R}$, then the range of $k$ is ( )
A: $0<k<1$
B: $0\leq k<1$
C: $k\leq 0$ or $k\geq 1$
D: $k=0$ or $k\geq 1$",b50b4540-a93c-598a-a6e0-e15edab5f711,Algebra,MCQ,cn_k12,C
"Let $S_{n}$ be the sum of the first $n$ terms of the sequence $\{a_{n}\}$. Given that for scenario A: $\{a_{n}\}$ is an arithmetic sequence, and for scenario B: $2S_{n}=(a_{1}+a_{n})n$ (where $n\in N^{*}$), which of the following statements is correct?

A: Scenario A is a sufficient but not necessary condition for scenario B.

B: Scenario A is a necessary but not sufficient condition for scenario B.

C: Scenario A is both a necessary and sufficient condition for scenario B.

D: Scenario A is neither a sufficient nor necessary condition for scenario B.",b2960d50-bd01-570b-ac35-59601d13dc11,Algebra,MCQ,cn_k12,C
"Given a point M $(x, 1)$ lies on the terminal side of angle $\theta$, and $\cos\theta= \frac{\sqrt{2}}{2}x$, then $x=$ （　　）
A: 1
B: -1
C: 1 or -1
D: -1 or 0 or 1",9424161e-d30e-5a40-adc6-ac8d2950fd6d,Algebra,MCQ,cn_k12,D
"Let $i$ be the imaginary unit. If the complex number $z$ satisfies $z(1+i) = (1-i)$, then the modulus of $z$, $|z|$, is

A: $-1$

B: $1$

C: $\sqrt{2}$

D: $2$",19fa9de4-aedf-5de6-ba51-7052a2478199,Algebra,MCQ,cn_k12,B
"Let \\(f(x)\\) be an odd function defined on \\(\mathbb{R}\\), and when \\(x \geqslant 0\\), \\(f(x) = 2^{x} + 2x + b\\) (where \\(b\\) is a constant). Then \\(f(-1) = \\) 　　.
A: \\(-3\\)
B: \\(-1\\)
C: \\(1\\)
D: \\(3\\)",421ca80d-0d7d-5364-be22-bfdac3554c2a,Algebra,MCQ,cn_k12,A
"Statement A: If the random variable $\xi \sim N(3, \sigma^2)$ and $P(\xi \leq 2) = 0.3$, then $P(\xi \leq 4) = 0.7$. Statement B: The random variable $\eta$ follows a binomial distribution $B(n, p)$, and $E\eta = 300$, $D\eta = 200$. It is given that $p = \frac{1}{3}$. Which of the following is correct?
A: Statement A is correct, Statement B is incorrect
B: Statement A is incorrect, Statement B is correct
C: Both Statement A and Statement B are incorrect
D: Both Statement A and Statement B are correct",225a9b89-9007-5eac-968b-d5dcf9fd22e5,Algebra,MCQ,cn_k12,D
"Which of the following operations is correct?

A: $a^{2}+a^{3}=a^{5}$

B: $a^{6}\div a^{2}=a^{3}$

C: $(a^{2})^{3}=a^{6}$

D: $a^{2}-b^{2}=\left(a+b\right)\left(b-a\right)$",3ce04156-32b9-5c3c-8f87-21f1bbf647d3,Algebra,MCQ,cn_k12,C
"Given the function $f(x)=\begin{cases} 2^{x}, & x\leqslant 0 \\ f(x-3), & x > 0 \end{cases}$, then $f(5)=$ (    )

A: $32$

B: $16$

C: $\dfrac{1}{32}$

D: $\dfrac{1}{2}$",d3d4f88e-7729-5eb3-979c-e2f5a9dd4616,Algebra,MCQ,cn_k12,D
"In the geometric sequence $\{a_n\}$, if $a_2= \sqrt{2}$ and $a_3= \sqrt[3]{4}$, then $\frac{a_1+a_{15}}{a_7+a_{21}}=$　　()
A: $\frac{1}{2}$
B: $\frac{2}{3}$
C: $\frac{3}{2}$
D: $2$",696102a6-7dd5-573c-a1b1-e9c68dad2b0a,Algebra,MCQ,cn_k12,A
